1	25	0	99	3	5	0	0	4	27	0	1	0	1	0	1	0	0	99	0	0
2	26	99	2	0	0	99	0	1	48	0	0	0	1	0	0	99	99	99	0	0
3	40	0	0	5	5	0	3	5	42	1	1	0	0	0	0	1	1	1	0	0
4	60	3	6	4	5	5	99	7	61	1	1	0	0	0	1	1	0	0	0	0
5	74	4	0	1	0	3	99	3	66	1	0	0	0	0	0	1	0	0	0	0
6	79	6	1	1	1	1	1	3	65	0	0	0	0	0	0	0	0	1	0	0
7	90	5	0	4	4	0	1	1	39	0	0	0	0	0	1	0	0	99	0	0
8	91	5	0	1	2	0	3	10	33	1	0	1	0	0	1	0	0	99	0	0
9	94	3	2	3	2	2	3	8	23	1	0	0	0	0	1	1	1	99	0	0
10	109	6	6	3	3	3	3	3	23	0	0	0	0	0	1	1	0	99	0	0
11	131	1	3	3	2	4	1	0	53	1	0	0	1	0	1	0	0	99	0	0
12	168	1	5	5	7	5	5	9	83	1	1	0	0	1	0	1	0	0	0	0
13	170	2	5	5	5	5	4	5	81	1	0	0	1	1	0	1	0	0	0	0
14	197	7	5	6	6	6	6	6	35	1	0	0	1	0	1	0	0	0	0	0
15	198	6	5	5	6	6	6	7	36	0	0	0	1	0	1	0	0	99	0	0
16	199	6	5	5	4	4	4	7	43	1	0	0	1	0	1	0	0	99	0	0
17	201	7	6	6	6	6	5	8	55	0	0	0	0	0	0	1	1	99	0	0
18	202	7	5	5	5	5	4	5	54	0	0	0	1	0	0	1	0	99	0	0
19	204	6	5	5	5	4	4	7	52	1	0	0	0	0	0	1	1	99	0	0
20	206	6	6	6	5	5	5	9	55	0	0	0	0	0	0	1	1	99	0	0
21	209	6	4	4	4	4	4	8	28	0	0	0	1	0	1	0	0	99	0	0
22	213	5	6	6	6	6	5	8	16	1	0	1	1	0	1	99	99	99	0	0
23	218	8	6	6	6	5	5	6	55	0	0	0	0	0	1	0	0	0	0	0
24	220	3	5	7	0	3	0	0	67	1	0	0	0	0	0	1	1	99	0	0
25	224	2	0	3	2	3	0	6	83	1	0	0	0	0	0	1	0	99	0	0
26	242	2	8	2	5	5	8	10	71	1	1	0	1	1	0	1	1	1	0	0
27	243	0	0	0	0	0	10	7	89	1	1	0	0	1	0	1	0	0	0	0
28	253	3	1	1	1	1	1	2	62	1	0	1	0	0	0	0	0	99	0	0
29	312	0	0	2	2	4	4	8	31	0	0	0	1	0	1	1	0	99	0	0
30	313	1	0	5	5	0	0	5	37	1	0	0	1	1	99	0	0	0	0	0
31	341	7	4	4	5	4	4	8	47	0	0	0	1	0	0	1	0	99	0	0
32	342	6	5	5	5	4	4	6	17	0	1	0	1	0	1	99	99	99	0	0
33	343	4	2	2	1	2	2	6	20	0	1	0	0	0	1	99	99	99	0	0
34	355	6	3	2	2	3	3	8	16	0	0	1	0	0	1	99	99	99	0	0
35	357	3	0	0	0	1	0	5	65	0	0	0	0	0	1	0	0	99	0	0
36	359	1	2	2	3	3	2	7	45	0	0	0	0	0	1	0	0	99	0	0
37	362	6	5	4	4	3	5	6	25	1	0	0	1	0	1	1	1	99	0	0
38	374	10	8	99	9	8	9	7	18	0	0	1	1	0	1	99	99	99	0	0
39	376	10	4	0	0	7	9	10	22	1	0	0	1	1	1	0	0	0	0	0
40	384	8	5	4	5	5	4	9	53	0	0	0	0	0	0	0	0	99	0	0
41	393	2	2	3	2	0	0	0	43	1	1	0	1	0	1	0	0	99	0	0
42	414	1	1	0	2	2	2	7	57	1	0	0	0	0	1	0	0	99	0	0
43	464	6	6	6	6	5	5	8	62	0	0	0	0	0	0	1	1	99	0	0
